Published Report Versions
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 12:00:15 PM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.82,4001.01,4001.02,4000.07,4000.83,4000.81
Report Name,Start Date,End Date,Version,Version Timestamp (EPT),Report Version Comments
Auction Specific MW Transaction Charges and Credits,01/29/2018,01/29/2018,20180101.000,02/07/2018 09:00:03,
Auction Specific MW Transaction Charges and Credits,01/30/2018,01/30/2018,20180101.000,02/07/2018 09:00:03,
Auction Specific MW Transaction Charges and Credits,01/31/2018,01/31/2018,20180101.000,02/07/2018 09:00:03,
Balancing Operating Reserve Load Reconciliation Charge Summary,01/01/2018,01/31/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,12/01/2017,12/01/2017,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/01/2018,01/01/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/02/2018,01/02/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/03/2018,01/03/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/04/2018,01/04/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/05/2018,01/05/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/06/2018,01/06/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/07/2018,01/07/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/08/2018,01/08/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/09/2018,01/09/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/10/2018,01/10/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/11/2018,01/11/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/12/2018,01/12/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/13/2018,01/13/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/14/2018,01/14/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/15/2018,01/15/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/16/2018,01/16/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/17/2018,01/17/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/18/2018,01/18/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/19/2018,01/19/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/20/2018,01/20/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/21/2018,01/21/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/22/2018,01/22/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/23/2018,01/23/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/24/2018,01/24/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/25/2018,01/25/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/26/2018,01/26/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/27/2018,01/27/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/28/2018,01/28/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/29/2018,01/29/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/30/2018,01/30/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Credit Summary,01/31/2018,01/31/2018,20180101.000,02/07/2018 09:00:03,
Balancing Transmission Congestion Load Reconciliation Credit Summary,01/01/2018,01/31/2018,20180101.000,02/07/2018 09:00:03,
Billing Line Item Adjustment Summary,01/01/2018,01/31/2018,20180101.000,02/07/2018 08:59:48,
Billing Line Item Transfer Summary,01/01/2018,01/31/2018,20180101.000,02/07/2018 08:59:48,
Black Start Charge Summary,02/01/2017,02/28/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,04/01/2017,04/30/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,05/01/2017,05/31/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,06/01/2017,06/30/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,07/01/2017,07/31/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,08/01/2017,08/31/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,09/01/2017,09/30/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,10/01/2017,10/31/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,11/01/2017,11/30/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,12/01/2017,12/31/2017,20180101.000,02/07/2018 09:00:03,
Black Start Charge Summary,01/01/2018,01/31/2018,20180101.000,02/07/2018 09:00:03,
CT Lost Opportunity Cost Forfeiture,11/01/2017,11/30/2017,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/01/2018,01/01/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/02/2018,01/02/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/03/2018,01/03/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/04/2018,01/04/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/05/2018,01/05/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/06/2018,01/06/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/07/2018,01/07/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/08/2018,01/08/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/09/2018,01/09/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/10/2018,01/10/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/11/2018,01/11/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/12/2018,01/12/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/13/2018,01/13/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/14/2018,01/14/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/15/2018,01/15/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/16/2018,01/16/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/17/2018,01/17/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/18/2018,01/18/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/19/2018,01/19/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/20/2018,01/20/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/21/2018,01/21/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/22/2018,01/22/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/23/2018,01/23/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/24/2018,01/24/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/25/2018,01/25/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/26/2018,01/26/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/27/2018,01/27/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/28/2018,01/28/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/29/2018,01/29/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/30/2018,01/30/2018,20180101.000,02/07/2018 09:00:03,
Capacity Transfer Rights Credit Summary,01/31/2018,01/31/2018,20180101.000,02/07/2018 09:00:03,
Congestion Uplift Charge Summary,06/01/2016,05/31/2017,20180101.000,02/07/2018 09:00:03,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20180101.000,02/07/2018 09:00:03,
Congestion and Loss Load Reconciliation Charges,01/01/2018,01/31/2018,20180101.000,02/07/2018 09:00:03,
Cross-monthly Congestion Credit Summary,05/01/2017,05/31/2017,20180101.000,02/07/2018 09:00:03,
Cross-monthly Congestion Credit Summary,06/01/2017,06/30/2017,20180101.000,02/07/2018 09:00:03,
Cross-monthly Congestion Credit Summary,07/01/2017,07/31/2017,20180101.000,02/07/2018 09:00:03,
Cross-monthly Congestion Credit Summary,08/01/2017,08/31/2017,20180101.000,02/07/2018 09:00:03,
Cross-monthly Congestion Credit Summary,09/01/2017,09/30/2017,20180101.000,02/07/2018 09:00:03,
Cross-monthly Congestion Credit Summary,10/01/2017,10/31/2017,20180101.000,02/07/2018 09:00:03,
Cross-monthly Congestion Credit Summary,11/01/2017,11/30/2017,20180101.000,02/07/2018 09:00:03,
Cross-monthly Congestion Credit Summary,12/01/2017,12/31/2017,20180101.000,02/07/2018 09:00:03,
Cross-monthly Congestion Credit Summary,01/01/2018,01/31/2018,20180101.000,02/07/2018 09:00:03,
DASR Load Reconciliation Charge Summary,01/01/2018,01/31/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/01/2018,01/01/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/02/2018,01/02/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/03/2018,01/03/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/04/2018,01/04/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/05/2018,01/05/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/06/2018,01/06/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/07/2018,01/07/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/08/2018,01/08/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/09/2018,01/09/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/10/2018,01/10/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/11/2018,01/11/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/12/2018,01/12/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/13/2018,01/13/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/14/2018,01/14/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/15/2018,01/15/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/16/2018,01/16/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/17/2018,01/17/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/18/2018,01/18/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/19/2018,01/19/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/20/2018,01/20/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/21/2018,01/21/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/22/2018,01/22/2018,20180101.000,02/07/2018 09:00:03,
Day-Ahead Daily Energy Transactions,01/23/2018,01/23/2018,20180101.000,02/07/2018 09:00:03,
